Gene Information					FPKM					
Track_id	Gene_Name	Locus	Strand	Gene_Type	S1	S2	S3	S4	S5	S6
ENSSSCG00000000045	NDUFA6	chr5:6562011-6567647	+	protein_coding	40.747883	57.529202	51.200188	41.175217	50.76302	55.076252
ENSSSCG00000000050	NAGA	chr5:6571037-6590546	+	protein_coding	3.317586484	2.801790575	2.856289655	3.162909672	3.121793459	3.093547985
ENSSSCG00000000058	SNU13	chr5:6885067-6900023	+	protein_coding	58.61294499	52.30095836	48.93675596	51.12110393	64.25380154	53.83309639
ENSSSCG00000000059	XRCC6	chr5:6903496-6929083	-	protein_coding	6.60274275	6.565946711	6.382733961	6.982944607	6.376787732	6.644686367
ENSSSCG00000000061	PMM1	chr5:6964999-6975904	+	protein_coding	3.200364	3.362478	4.30284	5.572737	3.716135	4.104755
ENSSSCG00000000062	CSDC2	chr5:6975840-6988422	-	protein_coding	0.769192	0.766752	1.672014	2.095734	0.326401	1.938317
ENSSSCG00000000063	POLR3H	chr5:6997444-7014422	+	protein_coding	2.282708223	1.514543529	2.784752968	2.032787205	1.425784666	1.316433751
ENSSSCG00000000064	ACO2	chr5:7002124-7070999	-	protein_coding	698.121765	640.329346	670.989319	481.588623	589.127869	566.698242
ENSSSCG00000000066	L3MBTL2	chr5:7253644-7277576	-	protein_coding	2.765716352	2.736755088	2.591069141	2.658299766	3.104310618	3.07313537
ENSSSCG00000000067	CHADL	chr5:7247909-7253379	+	protein_coding	1.223215	1.247989	0.65753	0.374318	0.143747	0.824465
ENSSSCG00000000068	EP300	chr5:7311171-7393760	-	protein_coding	24.379103	23.838999	23.874729	24.54516	24.583263	24.060942
ENSSSCG00000000071	ST13	chr5:7577970-7617762	+	protein_coding	33.29230975	40.53312664	30.23062048	38.41464377	35.6799166	30.77703767
ENSSSCG00000000072	SLC25A17	chr5:7622645-7741541	+	protein_coding	0.825106646	0.927440871	0.74566143	0.803152456	0.845873984	0.874535794
ENSSSCG00000000075	MRTFA	chr5:7757950-7975926	+	protein_coding	7.963683626	7.437792144	7.632772386	8.121828962	7.449587528	6.976484344
ENSSSCG00000000076	SGSM3	chr5:7968097-8017768	-	protein_coding	1.36656349	1.324334403	1.799047878	1.069581137	1.193741182	1.395090737
ENSSSCG00000000077	ADSL	chr5:7985700-8045510	-	protein_coding	15.64310339	18.38374298	16.48626083	14.06447768	22.38959821	15.44616448
ENSSSCG00000000078	TNRC6B	chr5:8060979-8311418	-	protein_coding	19.45521966	18.53796472	19.8802971	25.5379975	23.74697891	21.56290334
ENSSSCG00000000084	ATF4	chr5:8738880-8745225	-	protein_coding	37.719337	30.94371	40.728813	26.806444	32.769138	27.761183
ENSSSCG00000000087	TAB1	chr5:8826840-8852776	-	protein_coding	16.32805469	11.28348344	13.42840504	10.6835064	11.1618263	12.86671004
ENSSSCG00000000091	APOBEC3B	chr5:9097719-9116369	-	protein_coding	0.666511357	1.305231359	1.180136002	0.889055321	1.017853622	1.820075068
ENSSSCG00000000093	DNAL4	chr5:9236654-9250336	+	protein_coding	1.946791	1.903807	1.905564	2.01711	1.683479	1.96296
ENSSSCG00000000094	SUN2	chr5:9273240-9293246	+	protein_coding	81.7271219	54.4270613	40.56026144	60.76280097	39.10235086	44.38204297
ENSSSCG00000000095	GTPBP1	chr5:9247203-9321899	-	protein_coding	8.024523816	7.796356694	8.856187527	7.475537859	7.746391847	7.280990966
ENSSSCG00000000097	-	chr5:9336130-9358142	-	protein_coding	14.61146501	15.05706735	14.11558385	13.88936529	16.54071129	14.87717055
ENSSSCG00000000104	DDX17	chr5:9485702-9505157	+	protein_coding	85.45112956	83.17490678	74.43501537	99.42362998	84.80425055	81.14509635
ENSSSCG00000000105	KDELR3	chr5:9505206-9515722	-	protein_coding	1.4896963	1.460328823	2.392853563	0.768152213	1.89656765	2.559449844
ENSSSCG00000000106	KCNJ4	chr5:9541906-9548989	+	protein_coding	41.776745	45.024723	36.304455	29.75873	20.504719	36.061901
ENSSSCG00000000107	-	chr5:9594894-9620485	+	protein_coding	14.14692181	15.05498967	14.41377101	11.68289937	11.38149189	13.51680968
ENSSSCG00000000108	TMEM184B	chr5:9633554-9682115	+	protein_coding	11.7155936	14.65149089	14.48512514	9.059894986	7.509652345	10.90754491
ENSSSCG00000000110	PLA2G6	chr5:9685214-9777922	+	protein_coding	3.119745904	3.446076758	3.066414254	3.551998076	2.275655456	3.494407482
ENSSSCG00000000111	BAIAP2L2	chr5:9778727-9799703	+	protein_coding	5.408004291	5.398253055	7.028796463	4.914980924	6.777016399	5.903079743
ENSSSCG00000000113	SLC16A8	chr5:9801759-9806550	+	protein_coding	0.221345	0.35384	0.328533	0.558871	0.291248	0.212272
ENSSSCG00000000114	PICK1	chr5:9808450-9889930	-	protein_coding	13.76077142	9.960203839	11.30435446	11.69054564	10.51236012	9.390062544
ENSSSCG00000000116	POLR2F	chr5:9855983-9917726	-	protein_coding	96.01354239	116.0918738	114.5604461	129.5101009	119.0808131	117.0870203
ENSSSCG00000000118	MICALL1	chr5:9924651-9956947	-	protein_coding	15.90854638	18.17529379	18.42365676	12.23221691	10.13877535	15.21097281
ENSSSCG00000000119	EIF3L	chr5:9968428-9996316	-	protein_coding	39.97603305	46.2995504	30.93243664	28.9700112	50.99477187	33.12708654
ENSSSCG00000000120	ANKRD54	chr5:10003725-10017734	+	protein_coding	9.273026	8.067546	8.893959	6.146018	6.078801	5.947373
ENSSSCG00000000130	CYTH4	chr5:10489286-10521736	-	protein_coding	2.082138612	1.927741676	2.3713565	1.748768487	3.232066216	2.132350999
ENSSSCG00000000131	ELFN2	chr5:10427019-10429478	+	protein_coding	8.837255	3.67438	4.530728	2.279655	1.571024	3.80047
ENSSSCG00000000133	TST	chr5:10746890-10759623	+	protein_coding	19.43159395	19.86794464	17.95214055	15.57857136	22.65667055	18.87846569
ENSSSCG00000000135	KCTD17	chr5:10707354-10718959	-	protein_coding	0.338251	0.377455	0.71251	0.714841	0.442633	0.617095
ENSSSCG00000000136	CSF2RB	chr5:10816371-10840598	-	protein_coding	3.955704254	2.401409989	3.926976438	5.654868956	5.221243902	3.66186102
ENSSSCG00000000137	NCF4	chr5:10874953-10994015	-	protein_coding	0.928399606	0.97901853	0.893819696	1.261521577	1.345685705	1.182306807
ENSSSCG00000000139	IFT27	chr5:10994215-11017950	+	protein_coding	1.631153288	1.495544506	2.43881336	2.71103082	2.55510661	3.105418577
ENSSSCG00000000141	EIF3D	chr5:11213701-11233005	+	protein_coding	49.62040911	46.12700372	46.76191449	44.99663799	56.43483109	47.86925482
ENSSSCG00000000142	FOXRED2	chr5:11233902-11254705	+	protein_coding	0.841340761	1.062470036	1.29594786	1.233888464	0.970456837	1.521740968
ENSSSCG00000000144	-	chr5:11264645-11277631	+	protein_coding	18.66291906	18.53010725	16.65755356	16.77291752	17.28342003	16.25985344
ENSSSCG00000000145	-	chr5:11264590-11422660	+	protein_coding	36.7545512	39.42780988	40.40283775	36.95108857	41.03855676	41.23442343
ENSSSCG00000000146	MYH11	chr3:7002733-7143094	+	protein_coding	8.037459025	11.55642218	12.50157508	15.49936759	10.70383042	9.404545296
ENSSSCG00000000148	-	chr5:11509984-11543032	-	protein_coding	1.719707505	1.486064244	1.402032812	1.319317274	2.473661116	0.804068747
ENSSSCG00000000152	RBFOX2	chr5:11633519-11905311	+	protein_coding	23.63239671	21.75076581	19.18394796	24.81571465	21.30345235	21.74036399
ENSSSCG00000000156	FBXO7	chr5:12505655-12526274	-	protein_coding	14.376294	19.10232	12.495826	13.582194	12.728933	14.725328
ENSSSCG00000000158	RTCB	chr5:12580295-12641906	+	protein_coding	13.345503	11.596478	12.059564	9.094386	13.073204	9.025118
ENSSSCG00000000160	PRDM4	chr5:12638488-12668878	+	protein_coding	8.486752933	7.330245	7.753007714	6.501897	8.133938	7.267992
ENSSSCG00000000161	PWP1	chr5:12701584-12730850	-	protein_coding	6.098881	4.952529	4.493201	4.550032	5.326083	4.686612
ENSSSCG00000000164	CRY1	chr5:13275544-13364594	+	protein_coding	3.335565	2.128023	2.555361	1.93733	2.536694	2.667831
ENSSSCG00000000167	RIC8B	chr5:13468937-13585781	-	protein_coding	2.052616819	2.898701942	2.339003012	1.844010815	3.218118165	2.500612827
ENSSSCG00000000169	POLR3B	chr5:13590851-13926604	-	protein_coding	3.003276884	2.897311451	2.429213435	2.927168553	2.782746635	2.395293971
ENSSSCG00000000171	CKAP4	chr5:14021113-14030039	+	protein_coding	7.230239	5.731317	4.358972	6.304198	4.213855	6.986518
ENSSSCG00000000175	ADCY6	chr5:14834426-14850728	-	protein_coding	149.909851	108.976212	131.477219	114.513542	109.00679	107.652687
ENSSSCG00000000176	DDX23	chr5:14888953-14899174	-	protein_coding	12.67424341	11.03603107	13.28404278	12.45849377	13.28677696	12.7591738
ENSSSCG00000000184	DDN	chr5:15025510-15029629	-	protein_coding	4.837475	2.628574	1.922107	4.278679	3.15747	2.125094
ENSSSCG00000000185	PRKAG1	chr5:15033053-15049660	-	protein_coding	29.79478535	21.36933015	33.65812298	28.8160469	33.29145958	27.46970488
ENSSSCG00000000189	LMBR1L	chr5:15121550-15135252	-	protein_coding	3.404530362	2.66256285	3.150277307	2.887207398	2.959932409	2.97404052
ENSSSCG00000000190	TUBA1B	chr5:15149099-15269267	-	protein_coding	28.45157393	49.63307486	60.5845234	47.60764952	44.95870606	81.6306648
ENSSSCG00000000194	-	chr5:15153106-15270122	+	protein_coding	30.18127452	30.43015026	24.2773288	19.7949781	34.52639732	32.6530255
ENSSSCG00000000199	SPATS2	chr5:15347633-15484938	+	protein_coding	1.64318682	1.585696315	1.849217223	2.403357423	2.126440445	2.624617045
ENSSSCG00000000202	MCRS1	chr5:15517028-15526510	-	protein_coding	17.07223051	15.24844281	16.81246749	13.4370996	12.88984331	13.54393355
ENSSSCG00000000204	PRPF40B	chr5:15570474-15592386	+	protein_coding	3.606908	3.624895331	3.354949592	4.113834718	3.475459479	3.44473844
ENSSSCG00000000205	FAM186B	chr5:15541865-15559720	-	protein_coding	1.018987656	1.14914845	0.885592059	0.397138886	0.578259432	0.620916541
ENSSSCG00000000206	FAIM2	chr5:15779334-15812547	-	protein_coding	1.275628295	2.210489446	1.91609852	2.453170216	1.501580615	1.409426271
ENSSSCG00000000207	-	chr5:15774938-15775794	+	protein_coding	98.46228	124.140083	26.079601	100.741745	38.634399	29.949526
ENSSSCG00000000209	NCKAP5L	chr5:15711250-15761537	-	protein_coding	6.22542355	5.39575033	5.553069482	6.047848454	3.980997986	5.426340878
ENSSSCG00000000214	GPD1	chr5:16007448-16017825	+	protein_coding	10.20751356	6.311053092	10.57729436	4.646388356	5.773342033	5.025187129
ENSSSCG00000000215	SMARCD1	chr5:15992459-16005778	+	protein_coding	8.042886745	8.35240145	7.332019197	6.559381507	7.693912262	5.767565856
ENSSSCG00000000217	RACGAP1	chr5:15904707-15943614	+	protein_coding	0.546076888	0.26826673	0.861259732	0.652207206	0.586218217	0.907200633
ENSSSCG00000000220	POU6F1	AEMK02000258.1:188924-217951	+	protein_coding	3.219798	2.971386	2.625872	2.95674	2.386446	2.34847
ENSSSCG00000000223	BIN2	AEMK02000258.1:93257-127449	+	protein_coding	1.418283	1.859661205	1.868135	1.97916	3.497926	1.428758
ENSSSCG00000000232	ACVRL1	chr5:17263907-17286276	+	protein_coding	5.141879992	6.788646613	6.955903631	8.105353607	5.160421113	7.506079244
ENSSSCG00000000233	ACVR1B	chr5:17314290-17350722	+	protein_coding	4.052537563	2.748014397	3.606168609	3.422416903	2.674203049	2.899362885
ENSSSCG00000000234	TAMALIN	chr5:17357866-17367453	+	protein_coding	4.410075585	3.161483696	2.988551025	2.881221846	2.148140732	3.697782716
ENSSSCG00000000252	KRT8	chr5:18170354-18180404	-	protein_coding	0.382445752	0.035047369	0.060180361	0.736848056	0.050341743	0.097361081
ENSSSCG00000000257	ITGB7	chr5:18419436-18434526	-	protein_coding	0.499161225	0.865499101	0.566214567	0.514187883	1.049870697	0.586479061
ENSSSCG00000000258	RARG	chr5:18436267-18458625	-	protein_coding	2.99643522	3.663344422	1.500715873	3.844650671	2.070709816	4.882617262
ENSSSCG00000000259	CSAD	chr5:18379340-18410212	-	protein_coding	2.165881821	1.845389547	2.030281164	2.216218877	1.589649708	1.50111739
ENSSSCG00000000261	-	chr5:18352314-18357224	+	protein_coding	9.720392926	10.10184443	16.19746532	11.57853356	6.200773675	10.08769533
ENSSSCG00000000262	SPRYD3	chr5:18320756-18353114	-	protein_coding	11.62708385	12.46621788	13.2893231	11.97723257	10.3263477	13.16717754
ENSSSCG00000000263	TNS2	chr5:18299916-18320784	+	protein_coding	20.96788328	29.5753145	31.04992826	24.39355711	17.44596266	22.42952513
ENSSSCG00000000264	MFSD5	chr5:18476365-18478741	+	protein_coding	6.434864618	4.703198082	6.102853625	6.533460851	6.434525755	8.083968112
ENSSSCG00000000267	MYG1	chr5:18512710-18525877	+	protein_coding	13.525265	10.929022	10.770655	8.35107	11.821809	11.617269
ENSSSCG00000000268	AAAS	chr5:18526076-18537830	-	protein_coding	1.927182736	1.704207178	1.903613113	1.603316994	2.264621184	2.157270488
ENSSSCG00000000272	SP1	chr5:18588758-18630089	+	protein_coding	23.262888	24.497257	20.274155	20.269194	23.186766	23.71633
ENSSSCG00000000273	PRR13	chr5:18660814-18665925	+	protein_coding	29.761303	33.493065	34.61665	30.440346	29.887785	29.885252
ENSSSCG00000000274	PCBP2	chr5:18673981-18706838	+	protein_coding	41.09668065	47.48379088	44.68214482	43.3369218	43.83926873	47.22713291
ENSSSCG00000000275	MAP3K12	chr5:18699383-18717199	-	protein_coding	0.733025	0.618547	0.705142	0.962208	0.685856	0.780883
ENSSSCG00000000276	TARBP2	chr5:18718158-18723843	+	protein_coding	3.87250577	3.491301856	3.494994585	2.902499117	3.840053962	3.619527458
ENSSSCG00000000277	NPFF	chr5:18724081-18724826	-	protein_coding	1.051721	1.807858	2.347514	2.173495	2.23024	1.111977
ENSSSCG00000000278	-	chr5:18728692-18874183	-	protein_coding	18.69126854	5.365848779	19.5913068	20.92038242	20.24252179	19.58144958
ENSSSCG00000000288	HNRNPA1	chr5:19485096-19491419	+	protein_coding	123.6191746	119.1627724	119.8612256	161.0738142	159.3571063	118.8139144
ENSSSCG00000000290	COPZ1	chr5:19522583-19544568	+	protein_coding	7.601239352	6.615348212	7.761535429	6.500910161	6.954025736	7.608397624
ENSSSCG00000000292	ZNF385A	chr5:19560317-19583221	-	protein_coding	4.496709287	3.629416626	3.038493181	4.609908204	3.611826615	9.305404263
ENSSSCG00000000293	ITGA5	chr5:19586746-19610362	-	protein_coding	72.04574576	57.49344492	56.70883824	55.42750707	61.37892803	69.29806023
ENSSSCG00000000295	NCKAP1L	chr5:19677875-19723132	+	protein_coding	1.675294896	1.175409754	1.318683877	1.384379133	1.854825749	1.424548921
ENSSSCG00000000297	PDE1B	chr5:19725415-19752890	+	protein_coding	0.918633664	0.648464978	1.322402064	0.769836877	0.973883987	0.895815925
ENSSSCG00000000298	PPP1R1A	chr5:19753847-19763288	-	protein_coding	9.302464491	16.02308796	16.00494982	14.62268725	9.48322384	14.33454867
ENSSSCG00000000359	-	chr5:21147767-21160738	+	protein_coding	81.099472	88.248573	89.225594	88.697083	88.230431	82.90583
ENSSSCG00000000361	CD63	chr5:21171678-21176232	-	protein_coding	104.0507945	130.6595391	115.2127631	119.1187757	128.6067518	121.1197742
ENSSSCG00000000363	GDF11	chr5:21191142-21201818	+	protein_coding	1.036797	0.994672	0.904813	1.151162	0.878911	1.286623
ENSSSCG00000000364	SARNP	chr5:21199422-21262911	-	protein_coding	3.746371913	4.0309158	4.108104538	2.649732712	5.016802322	4.291550048
ENSSSCG00000000365	ORMDL2	chr5:21262193-21264687	+	protein_coding	3.569378	3.586215	3.477843	2.098895	3.612158	4.003114
ENSSSCG00000000366	DNAJC14	chr5:21206584-21273218	-	protein_coding	5.180401805	4.668448848	4.964675591	5.871805444	5.652843474	5.122886757
ENSSSCG00000000367	-	chr5:21274511-21279338	+	protein_coding	2.706361	2.901328	2.871469	2.188417	2.110124	3.017127
ENSSSCG00000000368	MMP19	chr5:21280130-21285774	-	protein_coding	4.584767	3.955245	3.886618	2.552484	4.153143	4.25634
ENSSSCG00000000370	DGKA	chr5:21331473-21355535	+	protein_coding	1.819596718	1.371175912	1.772211227	1.731363265	1.958710879	2.286793224
ENSSSCG00000000376	SUOX	chr5:21395282-21399715	+	protein_coding	17.90074527	13.58064335	15.22413958	9.441722562	17.69369097	18.44141616
ENSSSCG00000000377	-	chr5:21495944-21504095	+	protein_coding	40.07862764	37.93233529	38.75245515	37.52967158	48.11244538	37.51854994
ENSSSCG00000000379	ESYT1	chr5:21514497-21535326	+	protein_coding	5.098820006	4.500658388	4.951209097	3.67176812	4.657795399	5.022910259
ENSSSCG00000000382	SMARCC2	chr5:21563402-21586727	-	protein_coding	30.31942686	31.07950592	26.5096639	27.89015066	27.02893468	26.61178667
ENSSSCG00000000383	RNF41	chr5:21596306-21624569	-	protein_coding	11.45708284	12.15749743	10.86114939	12.7662388	10.20231249	13.73987825
ENSSSCG00000000384	NABP2	chr5:21624762-21631707	+	protein_coding	17.632168	20.106001	21.539227	19.94231	16.578081	17.883501
ENSSSCG00000000386	ANKRD52	chr5:21637917-21657117	-	protein_coding	11.75206501	10.00227727	9.486355815	8.732845622	8.068141976	9.354847186
ENSSSCG00000000393	PAN2	chr5:21712247-21748950	-	protein_coding	5.867345329	2.774240927	5.226704584	5.225159697	5.479543691	5.527604248
ENSSSCG00000000394	-	chr5:21707834-21711292	-	protein_coding	9.351824	8.811346	8.024799	8.521059	12.023999	10.3406
ENSSSCG00000000396	STAT2	chr5:21733035-21751354	-	protein_coding	2.540341142	5.306849819	2.709914261	2.563569855	1.686660746	1.266161104
ENSSSCG00000000399	TIMELESS	chr5:21759474-21787521	-	protein_coding	0.973498	0.7791	1.014065	0.832457	0.935503	0.767857
ENSSSCG00000000402	RBMS2	chr5:21819861-21932609	+	protein_coding	3.480168424	6.87554315	4.291072792	4.340460341	6.87780995	9.058575167
ENSSSCG00000000403	BAZ2A	chr5:21933894-21983021	-	protein_coding	12.75506598	12.63527615	10.49266443	14.65796654	13.03207926	13.51205913
ENSSSCG00000000405	-	chr5:21984580-21992407	-	protein_coding	727.7912908	676.8799515	698.8777088	549.0118164	600.1303871	627.1584304
ENSSSCG00000000406	PTGES3	chr5:22000339-22021663	-	protein_coding	50.3717884	55.20112869	42.35743252	46.26150495	47.21498349	42.49444976
ENSSSCG00000000411	NAB2	chr5:22400277-22406419	+	protein_coding	4.038316	3.560061	2.589357	3.912137	2.564906	4.214231
ENSSSCG00000000431	MBD6	chr5:22791437-22799126	+	protein_coding	14.325739	13.267454	12.697425	14.000731	9.599882	9.836257
ENSSSCG00000000433	B4GALNT1	chr5:22889656-22897508	-	protein_coding	2.175075298	1.548943576	2.903060603	1.253051822	1.685143371	2.700956127
ENSSSCG00000000435	-	chr5:22873736-22880823	+	protein_coding	5.279442388	6.674615281	5.361529706	6.477486918	4.534030718	5.913389647
ENSSSCG00000000436	PIP4K2C	chr5:22854137-22867037	+	protein_coding	0.794820961	0.059083708	0.654983268	0.72983267	0.427364508	0.240527829
ENSSSCG00000000437	ARHGAP9	chr5:22747336-22762049	-	protein_coding	0.512325978	0.540849728	0.760881367	0.45349607	0.965405559	0.671661214
ENSSSCG00000000444	DCTN2	chr5:22799286-22814364	-	protein_coding	59.76613254	61.36802853	61.27045064	63.6752202	57.34123444	55.68551061
ENSSSCG00000000449	DTX3	chr5:22867711-22873421	+	protein_coding	5.394126979	4.529428939	5.064516786	6.125877902	4.127288105	5.313541365
ENSSSCG00000000453	ATP23	chr5:23226814-23276043	+	protein_coding	3.852625	3.841812	3.922441	3.752883	3.843273	3.598538
ENSSSCG00000000455	LRIG3	chr5:24066613-24117962	-	protein_coding	0.281490842	0.437649209	0.474555731	0.654067404	0.870670455	0.493105362
ENSSSCG00000000456	SLC16A7	chr5:24713267-24875003	+	protein_coding	29.584398	32.830738	26.84231	33.372147	30.442453	36.543457
ENSSSCG00000000457	USP15	chr5:26964510-27097458	+	protein_coding	1.844117764	2.1872645	2.805441573	2.194542892	2.816867629	2.347798086
ENSSSCG00000000458	MON2	chr5:27126121-27242399	+	protein_coding	3.567595055	3.672971337	3.022310511	3.474771131	4.09274409	3.753663631
ENSSSCG00000000462	RXYLT1	chr5:28247412-28276273	+	protein_coding	3.81283	2.824657	4.238733	3.305301	3.450092	4.185923
ENSSSCG00000000466	XPOT	chr5:28716922-28929964	+	protein_coding	4.563421758	4.784570948	4.982831347	4.908900046	5.260208686	5.468117939
ENSSSCG00000000469	LEMD3	chr5:29596334-29673875	+	protein_coding	5.842933078	5.934742076	5.955682386	6.82057233	6.239395571	5.653268919
ENSSSCG00000000473	-	chr5:30488266-30511551	-	protein_coding	6.930156872	7.517006623	7.56297738	2.866996285	4.907472784	7.674053612
ENSSSCG00000000475	IRAK3	chr5:30525948-30609922	+	protein_coding	1.901787	2.248103	2.334299	2.530258	2.972946	2.610338
ENSSSCG00000000477	HELB	chr5:30645634-30697232	+	protein_coding	1.263071822	1.259676311	1.494173224	1.880627653	1.481531283	1.710431188
ENSSSCG00000000483	MDM1	chr5:32640945-32673638	-	protein_coding	1.013700105	0.864104	0.729271	1.049558	1.145988	0.775146
ENSSSCG00000000486	NUP107	chr5:32989794-33042575	+	protein_coding	3.221158978	2.927110368	2.611776158	4.050127407	3.617690385	3.59166626
ENSSSCG00000000487	SLC35E3	chr5:33049239-33067573	+	protein_coding	1.258122014	1.100656144	1.215729737	1.712976518	1.678010001	1.656724099
ENSSSCG00000000488	MDM2	chr5:33086994-33178089	+	protein_coding	2.576323688	1.668967017	2.634950233	2.528943748	1.514586984	2.265831324
ENSSSCG00000000493	FRS2	chr5:33725444-33849976	+	protein_coding	5.100692174	5.209123297	5.284571726	5.415264385	6.416153431	4.034361275
ENSSSCG00000000496	CCT2	chr5:33858572-34033939	+	protein_coding	5.956342273	5.203462904	1.049586038	2.82952794	1.875983778	6.72270344
ENSSSCG00000000500	-	chr5:33858572-34053897	+	protein_coding	5.711069428	4.297637378	6.330031999	5.3742644	6.381959013	5.030145296
ENSSSCG00000000502	CNOT2	chr5:34426394-34549313	+	protein_coding	3.313064502	3.198292423	3.433410435	3.020640859	3.622555346	3.614133018
ENSSSCG00000000504	PTPRB	chr5:34660029-34794321	-	protein_coding	15.21907536	22.22335045	21.7311559	15.02295666	16.33429392	22.31018108
ENSSSCG00000000509	ZFC3H1	chr5:35617164-35671191	-	protein_coding	5.014412163	4.914589338	4.745004591	6.136389462	4.822710539	5.277224857
ENSSSCG00000000510	TMEM19	chr5:35692291-35787658	+	protein_coding	6.095131066	7.568384992	7.650538605	8.262625438	6.621370801	6.901149654
ENSSSCG00000000512	TBC1D15	chr5:35827473-35908385	+	protein_coding	2.9839758	3.327687882	3.151540176	4.182542617	3.830542774	3.597178876
ENSSSCG00000000519	GLIPR1	chr5:38767111-38815616	+	protein_coding	0.635858211	0.6453505	0.423662663	0.62790657	1.017717343	1.956795553
ENSSSCG00000000521	PHLDA1	chr5:39314595-39315761	-	protein_coding	4.18659	6.751999	5.765627	18.709608	3.72948	21.250797
ENSSSCG00000000522	NAP1L1	chr5:39328051-39363711	-	protein_coding	16.2486066	18.08460118	16.27482435	23.55059517	18.41850729	17.45902862
ENSSSCG00000000523	BBS10	chr5:39557715-39566323	-	protein_coding	0.61992	0.995844	0.829927	0.739656	0.78921	1.012268
ENSSSCG00000000528	PKP2	chr5:41424845-41508868	+	protein_coding	98.41177364	84.959993	92.10922681	77.35562956	93.38029817	77.39701491
ENSSSCG00000000530	-	chr5:41570282-41879062	-	protein_coding	6.100333475	6.144407211	8.161969713	8.257998928	6.959733559	7.664332372
ENSSSCG00000000531	BICD1	chr5:41897376-42143641	-	protein_coding	0.730695902	0.50785014	1.215204278	1.508855151	0.605064485	1.577690853
ENSSSCG00000000534	IPO8	chr5:43099749-43182803	+	protein_coding	5.754135872	7.062296689	5.325177054	7.80183893	6.016346217	6.381407897
ENSSSCG00000000536	ERGIC2	chr5:44334230-44387933	+	protein_coding	4.639838796	6.133507382	6.745551035	5.860201528	6.70160271	6.841884867
ENSSSCG00000000541	FAR2	chr5:44381009-44558744	-	protein_coding	5.904639799	4.821209054	7.18827889	5.926000518	4.912489302	6.120195854
ENSSSCG00000000545	KLHL42	chr5:45901557-45954881	-	protein_coding	2.185104192	3.137720758	2.464790799	2.337587591	1.71034028	2.507576354
